Family	CName	SName	Status04	Range	Mass	Clutch	ElevRange
Cracidae	Wattled_Guan	Aburria_aburri	2_(NT)	778240	1423	3.25	2000
Megapodiidae	Wattled_Brush-turkey	Aepypodius_arfakianus	1_(LC)	205731	1600	20	2050
Megapodiidae	Bruijn's_Brush-turkey	Aepypodius_bruijnii	3_(VU)	2571	1600	NA	1000
Phasianidae	Congo_Peafowl	Afropavo_congensis	3_(VU)	202631	1418	2.5	1200
Numididae	White-breasted_Guineafowl	Agelastes_meleagrides	3_(VU)	315160	815	12	NA
Numididae	Black_Guineafowl	Agelastes_niger	1_(LC)	658866	700	NA	NA
Phasianidae	Barbary_Partridge	Alectoris_barbara	1_(LC)	1542970	461	11.3	3300
Phasianidae	Chukar	Alectoris_chukar	1_(LC)	11577357	619	9.5	4500
Phasianidae	Rock_Partridge	Alectoris_graeca	1_(LC)	446540	700	11	2400
Phasianidae	Rusty-necklaced_Partridge	Alectoris_magna	1_(LC)	345484	577.5	12.3	2700
Phasianidae	Arabian_Partridge	Alectoris_melanocephala	1_(LC)	437252	724	6.5	3000
Phasianidae	Philby's_Partridge	Alectoris_philbyi	1_(LC)	163851	441	6.5	2200
Phasianidae	Red-legged_Partridge	Alectoris_rufa	1_(LC)	901099	513.5	11.95	1300
Megapodiidae	Australian_Brush-turkey	Alectura_lathami	1_(LC)	748225	2330	21	NA
Phasianidae	Sand_Partridge	Ammoperdix_heyi	1_(LC)	1726174	181	6	2400
Phasianidae	Snow_Mountain_Quail	Anurophasis_monorthonyx	2_(NT)	16743	401	3	900
Phasianidae	Hainan_Partridge	Arborophila_ardens	3_(VU)	26632	300	NA	450
Phasianidae	White-cheeked_Partridge	Arborophila_atrogularis	2_(NT)	491513	256	4.5	1350
Phasianidae	Bar-backed_partridge	Arborophila_brunneopectus	1_(LC)	479426	317	4	1700
Phasianidae	Chestnut-headed_Partridge	Arborophila_cambodiana	3_(VU)	14802	318	NA	1100
Phasianidae	Chestnut-necklaced_Partridge	Arborophila_charltonii	2_(NT)	266902	275	NA	300
Phasianidae	Scaly-breasted_Partridge	Arborophila_chloropus	1_(LC)	834593	290	3	1400
